epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.725,0.31789,1.42673,1.06802,0.69634,0.83268,0.81407,0.7952,0.28915,0.91817,0.40052,0.00333016,0.00333016,0.00333016
2,363.158,0.22556,0.81843,0.96704,0.64493,0.87109,0.81698,0.75084,0.49136,0.86757,0.54928,0.00653155,0.00653155,0.00653155
3,564.725,0.25055,0.74265,0.97411,0.59047,0.90335,0.79325,0.68593,0.54084,0.85812,0.74076,0.00960095,0.00960095,0.00960095
4,772,0.23387,0.70304,0.96623,0.60168,0.91234,0.81796,0.76772,0.32177,0.78923,0.45541,0.009406,0.009406,0.009406
5,931.836,0.19283,0.6635,0.94388,0.63557,0.87727,0.82764,0.77519,0.34016,0.795,0.49141,0.009208,0.009208,0.009208
6,1075.74,0.16909,0.63926,0.93242,0.6541,0.87304,0.81013,0.79332,0.29754,0.63856,0.40713,0.00901,0.00901,0.00901
7,1279.1,0.15363,0.62112,0.92689,0.68418,0.86888,0.83919,0.7814,0.33424,0.67241,0.51906,0.008812,0.008812,0.008812
8,1486.78,0.14285,0.60736,0.92416,0.70698,0.86345,0.86323,0.82274,0.28069,0.63183,0.41835,0.008614,0.008614,0.008614
9,1666.06,0.13494,0.5954,0.9211,0.75948,0.85053,0.88854,0.87396,0.26975,0.59027,0.39534,0.008416,0.008416,0.008416
10,1810.41,0.13031,0.58664,0.92127,0.7244,0.89084,0.87655,0.85507,0.28155,0.57527,0.3986,0.008218,0.008218,0.008218
11,1994.9,0.12049,0.5766,0.9149,0.75432,0.84867,0.87313,0.83609,0.31221,0.6422,0.41421,0.00802,0.00802,0.00802
12,2193.63,0.1149,0.56669,0.91281,0.74064,0.89258,0.8841,0.88351,0.2149,0.55404,0.3128,0.007822,0.007822,0.007822
13,2382.89,0.1114,0.56003,0.91124,0.77393,0.85398,0.89385,0.89219,0.19365,0.53523,0.28991,0.007624,0.007624,0.007624
14,2551.25,0.10643,0.54866,0.91139,0.79595,0.86511,0.9127,0.89205,0.2617,0.5356,0.37855,0.007426,0.007426,0.007426
15,2705.41,0.10446,0.54891,0.9097,0.76728,0.89949,0.90875,0.87502,0.27541,0.55984,0.4045,0.007228,0.007228,0.007228
16,2895.1,0.09802,0.53528,0.90888,0.78396,0.8628,0.90565,0.8806,0.36496,0.58064,0.54022,0.00703,0.00703,0.00703
17,3042.8,0.09676,0.53194,0.90755,0.77575,0.89065,0.91254,0.90159,0.26339,0.55973,0.38681,0.006832,0.006832,0.006832
18,3212.99,0.09269,0.52498,0.90526,0.77536,0.88898,0.9088,0.88877,0.25037,0.55618,0.35414,0.006634,0.006634,0.006634
19,3406.09,0.08945,0.52013,0.9048,0.75857,0.89709,0.9102,0.90481,0.25579,0.58011,0.3693,0.006436,0.006436,0.006436
20,3582.99,0.08883,0.51583,0.9058,0.78259,0.88942,0.91813,0.9135,0.26352,0.54415,0.38195,0.006238,0.006238,0.006238
21,3787.44,0.08667,0.51028,0.90292,0.77477,0.92072,0.91928,0.90083,0.25485,0.52805,0.36398,0.00604,0.00604,0.00604
22,3992.47,0.08424,0.50962,0.90211,0.7774,0.90224,0.92115,0.91682,0.24954,0.56354,0.36178,0.005842,0.005842,0.005842
23,4199.71,0.07992,0.50555,0.90217,0.78475,0.89768,0.92108,0.90705,0.25227,0.56079,0.36921,0.005644,0.005644,0.005644
24,4401.33,0.07905,0.49673,0.90157,0.80481,0.87713,0.92647,0.91886,0.25634,0.52078,0.36007,0.005446,0.005446,0.005446
25,4602.35,0.07943,0.49407,0.90358,0.78203,0.90265,0.92302,0.91192,0.24631,0.51774,0.34506,0.005248,0.005248,0.005248
26,4804.4,0.08015,0.48902,0.9029,0.79688,0.89219,0.92476,0.92294,0.22136,0.50397,0.3051,0.00505,0.00505,0.00505
27,5013.16,0.0786,0.48502,0.90362,0.76464,0.91434,0.91938,0.90871,0.27358,0.54087,0.36794,0.004852,0.004852,0.004852
28,5222.64,0.07389,0.48137,0.89882,0.77855,0.91741,0.9245,0.92228,0.27659,0.45425,0.38703,0.004654,0.004654,0.004654
29,5429.84,0.07014,0.47437,0.89866,0.76379,0.93912,0.92643,0.92189,0.2644,0.48254,0.37268,0.004456,0.004456,0.004456
30,5635.54,0.06807,0.47101,0.89769,0.78659,0.91227,0.92861,0.92348,0.26975,0.46341,0.37674,0.004258,0.004258,0.004258
31,5837.84,0.06717,0.47287,0.89904,0.8074,0.89894,0.93139,0.92556,0.27566,0.46698,0.38999,0.00406,0.00406,0.00406
32,6043.58,0.06584,0.46509,0.89835,0.7989,0.90626,0.9281,0.92117,0.27788,0.4813,0.39028,0.003862,0.003862,0.003862
33,6237.06,0.06555,0.46006,0.89724,0.78471,0.92563,0.93076,0.93072,0.1894,0.46357,0.26082,0.003664,0.003664,0.003664
34,6447.21,0.06364,0.4535,0.89641,0.77936,0.92559,0.93081,0.91566,0.28473,0.49121,0.40601,0.003466,0.003466,0.003466
35,6656.77,0.06158,0.44899,0.89644,0.7856,0.90683,0.92762,0.9173,0.26677,0.48708,0.38028,0.003268,0.003268,0.003268
36,6869.8,0.05901,0.44907,0.89517,0.78347,0.89856,0.92775,0.91601,0.26349,0.50606,0.36987,0.00307,0.00307,0.00307
37,7045.74,0.05746,0.44368,0.8958,0.77757,0.92206,0.9295,0.92141,0.25506,0.49373,0.36275,0.002872,0.002872,0.002872
38,7219.31,0.05532,0.44279,0.89455,0.80432,0.89887,0.93169,0.92296,0.24132,0.49441,0.349,0.002674,0.002674,0.002674
39,7441.67,0.05462,0.43285,0.89452,0.80755,0.90221,0.93332,0.92791,0.24662,0.48916,0.35265,0.002476,0.002476,0.002476
40,7638.08,0.05132,0.43062,0.89462,0.82167,0.8838,0.93307,0.92725,0.25135,0.49247,0.35926,0.002278,0.002278,0.002278
41,7829.1,0.03158,0.34394,0.90238,0.81588,0.87975,0.93422,0.92765,0.24742,0.49702,0.35487,0.00208,0.00208,0.00208
42,7992.5,0.02651,0.32096,0.89757,0.81673,0.88359,0.93495,0.93177,0.2503,0.49351,0.35508,0.001882,0.001882,0.001882
43,8139.26,inf,0.31137,0.89881,0.79189,0.91329,0.93468,0.93134,0.24324,0.49492,0.34548,0.001684,0.001684,0.001684
44,8281.52,0.02153,0.30306,0.89761,0.78081,0.92939,0.93404,0.93075,0.24019,0.49939,0.34129,0.001486,0.001486,0.001486
45,8423.82,0.02019,0.29355,0.89576,0.782,0.93214,0.93395,0.93071,0.23733,0.50261,0.33732,0.001288,0.001288,0.001288
46,8565.17,0.019,0.28697,0.89639,0.78079,0.93285,0.93294,0.92965,0.23682,0.50809,0.33602,0.00109,0.00109,0.00109
47,8706.98,0.01776,0.28128,0.89529,0.78291,0.92693,0.93281,0.92937,0.23336,0.5121,0.33179,0.000892,0.000892,0.000892
48,8849.64,0.01611,0.27073,0.89762,0.77385,0.93118,0.93256,0.92956,0.22904,0.5208,0.32705,0.000694,0.000694,0.000694
49,8992.24,0.01498,0.26678,0.89715,0.77703,0.93027,0.93256,0.92943,0.2267,0.52717,0.32421,0.000496,0.000496,0.000496
50,9134.48,0.01395,0.25607,0.89722,0.78035,0.92474,0.93293,0.92967,0.22574,0.53248,0.32345,0.000298,0.000298,0.000298
