epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5375,0.61441,1.41773,1.16208,0.70613,0.91357,0.89447,0.78809,0.48462,0.92777,1.13349,0.000554079,0.000554079,0.000554079
2,129.724,0.60788,0.80862,1.13689,0.78544,0.84072,0.89923,0.77773,0.51895,0.78143,1.16365,0.00108777,0.00108777,0.00108777
3,184.245,0.59028,0.69354,1.11994,0.77846,0.88302,0.91133,0.77138,0.5693,0.68475,1.22896,0.00159946,0.00159946,0.00159946
4,238.341,0.57435,0.64301,1.11122,0.78501,0.85785,0.89564,0.79387,0.46066,0.57153,1.09066,0.00156798,0.00156798,0.00156798
5,292.58,0.56103,0.61506,1.10262,0.77298,0.86183,0.92192,0.82343,0.4717,0.59887,1.10811,0.00153497,0.00153497,0.00153497
6,346.984,0.53497,0.5815,1.08043,0.80044,0.87823,0.92779,0.83969,0.44517,0.57325,1.07613,0.00150197,0.00150197,0.00150197
7,402.231,0.52544,0.56442,1.07125,0.78669,0.90492,0.92634,0.8281,0.46158,0.55695,1.09379,0.00146896,0.00146896,0.00146896
8,456.903,0.5241,0.55038,1.07259,0.7698,0.94095,0.92552,0.84308,0.41786,0.48345,1.04486,0.00143595,0.00143595,0.00143595
9,511.23,0.50754,0.54039,1.06083,0.80514,0.89912,0.92719,0.84655,0.42211,0.47963,1.04667,0.00140295,0.00140295,0.00140295
10,565.344,0.50865,0.535,1.06508,0.78693,0.92452,0.93508,0.85838,0.40994,0.48602,1.03825,0.00136994,0.00136994,0.00136994
11,619.541,0.50042,0.52744,1.05984,0.78956,0.92592,0.9385,0.86023,0.42196,0.44524,1.0425,0.00133693,0.00133693,0.00133693
12,683.662,0.49753,0.52214,1.05632,0.78868,0.92924,0.94068,0.85291,0.43337,0.51519,1.05764,0.00130393,0.00130393,0.00130393
13,739.707,0.49655,0.50885,1.05698,0.78269,0.94532,0.93722,0.85899,0.41648,0.44937,1.04025,0.00127092,0.00127092,0.00127092
14,792.843,0.49313,0.50009,1.05267,0.74836,0.95152,0.93443,0.86021,0.40087,0.45737,1.02533,0.00123791,0.00123791,0.00123791
15,846.074,0.48521,0.4979,1.04845,0.80279,0.91907,0.94236,0.86347,0.42622,0.42309,1.05151,0.00120491,0.00120491,0.00120491
16,899.8,0.48146,0.48096,1.04583,0.81295,0.91116,0.93946,0.86352,0.40004,0.43718,1.02146,0.0011719,0.0011719,0.0011719
17,953.094,0.47892,0.47223,1.03986,0.82746,0.88982,0.94145,0.87273,0.39432,0.43692,1.01962,0.00113889,0.00113889,0.00113889
18,1006.47,0.47897,0.47346,1.04286,0.75168,0.9426,0.9404,0.87105,0.39544,0.45226,1.01749,0.00110589,0.00110589,0.00110589
19,1059.63,0.47287,0.47981,1.03978,0.79682,0.89979,0.93587,0.85863,0.41226,0.50546,1.0375,0.00107288,0.00107288,0.00107288
20,1113.06,0.47109,0.46933,1.04208,0.796,0.93081,0.94441,0.87295,0.39477,0.4111,1.01167,0.00103987,0.00103987,0.00103987
21,1166.34,0.47303,0.46721,1.04187,0.79824,0.9164,0.94351,0.86988,0.3954,0.42046,1.01963,0.00100687,0.00100687,0.00100687
22,1219.97,0.47463,0.46626,1.04418,0.79072,0.93173,0.94194,0.87041,0.39867,0.4243,1.01436,0.000973861,0.000973861,0.000973861
23,1273.25,0.46934,0.46487,1.03891,0.80848,0.91117,0.94447,0.87763,0.38619,0.40345,1.01002,0.000940855,0.000940855,0.000940855
24,1326.79,0.46261,0.45745,1.03527,0.78416,0.9418,0.94104,0.8727,0.3858,0.4028,1.00552,0.000907848,0.000907848,0.000907848
