epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,1380.33,0.46194,0.45957,1.03275,0.78479,0.90003,0.93877,0.86719,0.38443,0.45049,1.00819,0.000874842,0.000874842,0.000874842
26,1433.62,0.46085,0.45192,1.03531,0.82687,0.89151,0.94312,0.87655,0.38671,0.42362,1.00712,0.000841835,0.000841835,0.000841835
27,1486.67,0.4689,0.45298,1.0346,0.78564,0.92248,0.94302,0.87747,0.38608,0.4232,1.00621,0.000808828,0.000808828,0.000808828
28,1539.84,0.45838,0.4453,1.03314,0.80979,0.91329,0.94527,0.87643,0.39063,0.40713,1.00965,0.000775822,0.000775822,0.000775822
29,1592.81,0.45126,0.43961,1.02902,0.82562,0.90109,0.94802,0.8784,0.38356,0.38802,1.00682,0.000742815,0.000742815,0.000742815
30,1646.12,0.45849,0.44684,1.03206,0.80637,0.92342,0.94326,0.87654,0.38095,0.39661,1.00082,0.000709809,0.000709809,0.000709809
31,1699.34,0.45242,0.43651,1.02729,0.75999,0.96557,0.93757,0.87294,0.37832,0.39337,1.00017,0.000676802,0.000676802,0.000676802
32,1752.48,0.44976,0.43575,1.02476,0.79473,0.91875,0.94757,0.88218,0.37816,0.4018,1.00222,0.000643795,0.000643795,0.000643795
33,1805.77,0.45237,0.43048,1.02677,0.79106,0.93973,0.94698,0.88273,0.37326,0.4228,0.99384,0.000610789,0.000610789,0.000610789
34,1859.17,0.44663,0.42954,1.02229,0.79373,0.9312,0.94828,0.8815,0.37708,0.38106,0.99966,0.000577782,0.000577782,0.000577782
35,1912.93,0.43746,0.41945,1.0181,0.82943,0.90213,0.94821,0.88427,0.37428,0.3849,0.99434,0.000544776,0.000544776,0.000544776
36,1966.42,0.4419,0.42426,1.02178,0.82289,0.90519,0.94545,0.88198,0.37365,0.38005,0.99399,0.000511769,0.000511769,0.000511769
37,2019.8,0.43554,0.41745,1.01679,0.79925,0.92915,0.9437,0.88017,0.37225,0.38621,0.99277,0.000478762,0.000478762,0.000478762
38,2073.02,0.43891,0.41186,1.01899,0.80796,0.9304,0.94535,0.88232,0.37695,0.37677,0.9957,0.000445756,0.000445756,0.000445756
39,2126.05,0.43657,0.40924,1.01729,0.81921,0.90813,0.94728,0.88095,0.37739,0.37375,0.99592,0.000412749,0.000412749,0.000412749
40,2179.34,0.43136,0.40808,1.01536,0.83106,0.90245,0.94694,0.88234,0.37212,0.37634,0.99331,0.000379743,0.000379743,0.000379743
41,2249.56,0.34561,0.3466,0.9823,0.7889,0.94814,0.94682,0.88528,0.37225,0.37877,0.98943,0.000346736,0.000346736,0.000346736
42,2302.34,0.34043,0.34144,0.97754,0.79481,0.94646,0.94885,0.88619,0.36962,0.36841,0.98905,0.000313729,0.000313729,0.000313729
43,2354.84,0.33647,0.32687,0.97937,0.83253,0.90635,0.95021,0.88771,0.36802,0.36596,0.98731,0.000280723,0.000280723,0.000280723
44,2407.35,0.33609,0.3248,0.97828,0.83456,0.90016,0.94729,0.8851,0.37142,0.37012,0.99122,0.000247716,0.000247716,0.000247716
45,2459.89,0.33717,0.32532,0.97624,0.85464,0.8843,0.94852,0.88708,0.36703,0.36922,0.98665,0.00021471,0.00021471,0.00021471
46,2512.53,0.33233,0.31136,0.96844,0.82702,0.90372,0.94549,0.88585,0.36511,0.37015,0.98363,0.000181703,0.000181703,0.000181703
47,2564.91,0.32637,0.30572,0.9713,0.82623,0.91599,0.94813,0.88891,0.36589,0.36545,0.98409,0.000148696,0.000148696,0.000148696
48,2617.95,0.3267,0.30479,0.96687,0.83719,0.89547,0.94698,0.88681,0.36673,0.36239,0.98474,0.00011569,0.00011569,0.00011569
49,2670.51,0.32682,0.29982,0.96331,0.83995,0.89914,0.94826,0.88757,0.36494,0.36198,0.98324,8.26832e-05,8.26832e-05,8.26832e-05
50,2722.95,0.32113,0.29808,0.96483,0.83102,0.90454,0.94756,0.88648,0.36499,0.36616,0.98233,4.96766e-05,4.96766e-05,4.96766e-05
